,kappa,# Edges,# Nodes,Min Degree,Max Degree,Diameter,Concentrated
6112,3.1529903229891993,833,60,20,36,2,0
6113,3.867104383928205,2513,79,56,74,2,1
6114,0.8066133458224609,458,31,28,30,2,0
6115,1.9843956651853754,705,58,16,32,2,0
6116,1.9622189197127735,246,30,11,23,2,0
6117,2.4689338530345206,2589,77,60,73,2,0
6118,2.06882429442711,1135,68,26,43,2,0
6119,3.869376215251766,2166,67,62,66,2,1
6120,3.1999805005628876,925,44,40,43,2,0
6121,1.8351017042060147,363,66,4,19,3,0
6122,3.9637402190239923,230,35,9,19,2,1
6123,3.354166555097542,733,66,13,29,2,0
6124,1.2661615009634932,199,44,5,16,3,0
6125,3.4236107001790668,497,76,5,20,3,1
6126,3.516214105955391,3251,87,67,81,2,1
6127,3.0192337465713415,180,39,4,14,3,1
6128,3.3214263397817296,346,32,16,27,2,0
6129,0.9852079457483582,478,40,17,32,2,0
6130,4.232453784239188,60,27,1,9,4,0
6131,1.7275038466925685,688,41,29,37,2,0
6132,2.0295776185247045,2717,99,43,66,2,0
6133,3.3733291984288267,376,28,26,27,2,0
6134,1.890277166895176,276,26,16,25,2,0
6135,3.230833878665718,581,37,26,35,2,0
6136,1.3065868439425903,1186,56,34,49,2,0
6137,1.512804077349431,174,39,2,15,4,0
6138,2.1806469071513406,879,46,32,45,2,0
6139,1.7676720118462743,81,35,2,10,4,0
6140,4.103217702362787,412,39,14,28,2,1
6141,1.4582523857601064,625,64,13,31,3,0
6142,4.294109700708166,4201,94,83,93,2,0
6143,4.040436917037763,2704,82,57,73,2,1
6144,2.6728779013932145,792,41,36,40,2,1
6145,3.825039967289664,1790,67,48,61,2,1
6146,3.4664956480806497,736,39,36,38,2,1
6147,3.715921698427778,371,94,2,16,4,0
6148,3.74951368603464,1349,63,34,52,2,1
6149,3.9608750032918403,96,42,1,8,5,0
6150,4.149841365080324,984,97,10,32,3,1
6151,1.7993119932108987,2642,86,53,70,2,0
6152,3.009280032076074,645,61,11,32,2,1
6153,2.9680923616706854,423,46,13,25,2,0
6154,0.7764978496813746,240,26,14,22,2,0
6155,3.521060511577429,517,35,26,34,2,1
6156,4.420399746700122,1044,49,37,47,2,0
6157,3.33600768627687,351,56,5,21,3,0
6158,0.6999069488411687,699,48,22,35,2,0
6159,1.8593182883430228,3604,86,80,85,2,0
6160,3.6021574546566053,617,63,12,27,2,0
6161,2.3013859370087166,2329,72,60,70,2,0
6162,3.9622839983444718,1161,99,15,35,3,1
6163,3.1272212357769993,307,27,20,26,2,1
6164,1.8813856504603104,293,31,15,23,2,0
6165,1.606704674196918,412,32,22,29,2,0
6166,3.7086159205107534,385,29,24,28,2,0
6167,4.394004669398939,187,34,6,16,3,1
6168,2.5814260137448652,391,37,16,27,2,1
6169,3.602542244715595,71,25,3,12,4,0
6170,3.1040934389533223,305,27,20,25,2,0
6171,4.133763896927993,1025,77,18,36,2,1
6172,3.388757926703982,2544,93,44,65,2,0
6173,2.838338734794949,261,75,2,14,4,0
6174,0.9245022467953161,583,51,15,35,2,0
6175,1.546709400282186,187,60,2,11,4,0
6176,0.9494972500810364,665,45,23,34,2,0
6177,1.2221798371269168,137,26,6,15,3,0
6178,0.9269211594608664,2989,81,68,79,2,0
6179,1.4208306159080335,652,63,14,30,3,0
6180,3.9559762682415194,362,88,1,17,5,0
6181,2.395782931854849,328,55,6,19,3,1
6182,3.996738520836299,1878,66,48,62,2,1
6183,2.4076396834271345,253,25,15,23,2,0
6184,1.1977774412170605,2690,96,45,70,2,0
6185,1.53011680926208,489,46,16,33,2,0
6186,2.7538502486889254,678,91,5,25,3,1
6187,3.7332155813584453,674,39,29,37,2,0
6188,0.8514113171713809,435,85,5,18,4,0
6189,2.904729137686686,259,25,17,24,2,0
6190,2.0667044315018934,867,65,16,36,2,0
6191,0.8481525577001952,83,25,3,10,3,0
6192,3.6922936277150775,377,36,17,26,2,0
6193,3.6158628199259355,734,40,33,39,2,1
6194,1.833928577038344,1836,71,43,58,2,0
6195,1.5825039640455367,1464,73,29,50,2,0
6196,3.0482141031973113,1794,98,28,46,2,0
6197,3.9997903807529167,1482,59,43,56,2,1
6198,1.3068320175608599,2332,97,35,63,2,0
6199,2.6064782268319497,615,70,9,25,3,0
6200,0.6294208448437995,172,27,5,19,2,0
6201,2.9121967479798325,2122,79,46,63,2,0
6202,4.110888236572771,1159,54,35,49,2,1
6203,3.5003818213155915,1755,79,36,58,2,1
6204,4.466050461336777,669,42,23,39,2,1
6205,3.2110855174709627,378,29,23,28,2,0
6206,1.9660103034781695,376,70,4,19,4,0
6207,2.891457146822651,1213,50,46,49,2,0
6208,0.6894600640171493,3194,84,68,81,2,0
6209,1.2398874467063852,79,36,1,9,4,0
6210,2.1909224518037855,2544,83,54,69,2,0
6211,1.3980471731199815,1546,74,32,52,2,0
6212,0.98313664935923,329,29,19,27,2,0
6213,1.2995524526010982,514,92,5,21,3,0
6214,0.9634053069886948,252,48,4,17,3,0
6215,3.261870083406451,308,26,22,25,2,1
6216,1.6581117356698112,775,42,35,39,2,0
6217,3.239301967643954,830,87,12,28,3,1
6218,4.26371170899246,2418,87,46,66,2,0
6219,3.966758578868976,1546,81,30,47,2,1
6220,2.9047455512152087,303,44,9,20,3,1
6221,2.8597281102427887,2556,91,39,70,2,1
6222,1.121866797311081,2301,70,59,69,2,0
6223,3.160945930569865,543,36,25,34,2,1
6224,3.7514224495488366,3819,96,71,88,2,0
6225,3.072097765408004,779,53,21,36,2,0
6226,2.076417312446796,442,43,14,26,2,0
6227,1.8100047138185373,1995,64,61,63,2,0
6228,1.8725724787713527,2272,77,50,66,2,0
6229,3.869881289314037,3191,89,61,81,2,1
6230,2.122896560084447,743,49,24,39,2,0
6231,3.2683994362862796,756,57,17,33,2,0
6232,1.6605559409296626,3548,97,59,80,2,0
6233,1.896814214621609,244,30,11,20,2,0
6234,2.9819371236907175,1020,55,29,45,2,0
6235,2.116677332222566,917,46,35,44,2,0
6236,3.0237932143680237,659,63,15,30,3,0
6237,2.7266431714607102,2455,100,39,59,2,0
6238,2.8961663252647356,588,36,30,35,2,1
6239,3.1228445261300886,562,69,10,25,3,0
6240,2.0606939000826645,204,47,3,17,4,0
6241,2.3024907840037434,1454,59,44,53,2,1
6242,1.9555723690249982,646,40,27,37,2,0
6243,3.209913213539127,520,34,27,33,2,0
6244,4.091543170485054,150,35,4,18,3,0
6245,3.5500425206925086,2227,70,58,68,2,0
6246,3.3524359658943745,1351,64,34,50,2,0
6247,3.7250388179369285,2198,76,49,64,2,0
6248,2.615044624773004,2148,77,48,62,2,0
6249,3.741833339424371,1276,66,23,50,2,1
6250,2.7717847701271223,1473,85,24,43,2,0
6251,1.1258942487999435,3133,98,51,72,2,0
6252,0.5268909822702521,878,44,35,43,2,0
6253,3.1048002121915164,733,57,17,32,2,0
6254,2.913996325688856,2960,83,64,79,2,0
6255,0.9531364849032573,1833,69,43,62,2,0
6256,0.8761544441543152,831,56,22,38,2,0
6257,2.919162234857721,3800,90,77,88,2,0
6258,2.994281564630795,427,98,3,16,4,1
6259,3.0770957343110044,2267,84,43,64,2,0
6260,0.8085413115783036,312,28,18,25,2,0
6261,0.8254070037280785,189,45,4,13,3,0
6262,2.8358598447736942,601,50,16,35,2,0
6263,3.7308005410280907,3182,82,73,81,2,0
6264,2.901608147238486,906,60,21,38,2,0
6265,0.7975259771132985,2643,100,44,65,2,0
6266,4.440805652523801,300,56,4,18,3,1
6267,2.764342260789437,842,44,34,42,2,1
6268,1.0072858471547166,3796,93,72,87,2,0
6269,1.4693591588900357,764,59,19,32,2,0
6270,1.500455332211649,125,34,3,14,3,0
6271,3.9344886001197876,175,35,4,14,3,0
6272,4.008515461760486,277,81,2,14,4,1
6273,2.4024871525636136,1877,72,43,60,2,0
6274,1.2955107656125269,370,28,25,27,2,0
6275,2.4006123695923054,1754,68,42,60,2,0
6276,2.5362166607165886,341,47,10,23,3,0
6277,3.6707744687950847,294,40,10,20,3,1
6278,3.0369835074175695,746,70,13,30,3,1
6279,2.1929371772601356,676,44,24,37,2,0
6280,1.292176674798346,530,70,5,26,3,0
6281,0.8730153191182008,431,30,27,29,2,0
6282,2.049642324456915,321,67,4,16,4,0
6283,1.893581555324877,225,86,1,10,5,0
6284,2.209038594818846,1567,95,21,46,2,0
6285,1.1493938012263234,291,87,1,13,5,0
6286,1.4040734270527775,405,57,6,20,3,0
6287,3.68097091569497,4051,95,77,91,2,1
6288,3.673579533828438,240,26,14,22,2,1
6289,4.299136305787737,603,44,19,34,2,0
6290,0.6242216082145902,1363,69,30,49,2,0
6291,2.6830608586699354,443,68,5,21,3,0
6292,3.073321666957963,1138,57,35,48,2,1
6293,2.5114424573805123,1036,57,27,44,2,0
6294,2.104277217836535,4475,97,88,96,2,0
6295,2.5273045673702534,210,46,5,15,3,0
6296,3.406901033118969,1289,79,21,45,2,0
6297,4.138000024226592,2086,66,61,65,2,0
6298,1.6969189763330572,116,38,2,11,4,0
6299,3.0532396544632556,2166,72,54,69,2,0
6300,4.498483956719564,587,59,12,30,3,1
6301,3.095612501454819,71,26,2,9,4,0
6302,3.2798984984253137,1941,94,29,51,2,1
6303,2.0000117472730814,234,32,9,20,2,0
6304,1.680335176113017,1737,75,34,56,2,0
6305,3.2634774836755667,2776,98,49,66,2,0
6306,2.2723826001835223,488,82,5,21,3,0
6307,1.2329187904099368,804,66,18,30,2,0
6308,4.154925797082732,1374,64,30,51,2,1
6309,0.5638714187404941,4392,96,86,94,2,0
6310,3.655087223356838,114,38,3,10,4,0
6311,2.8026325696395875,2189,78,43,64,2,0
6312,1.2705787601011638,166,45,4,13,3,0
6313,0.8505410329034704,888,65,21,34,2,0
6314,1.8851135514102908,1262,57,34,52,2,0
6315,3.375529475435391,418,39,17,26,2,1
6316,2.023295851836266,1174,80,20,38,2,0
6317,3.484912641156495,2433,73,60,71,2,0
6318,3.1980068723640427,337,58,5,19,3,0
6319,4.181995400631866,1334,72,28,49,2,0
6320,2.4269076258555016,469,41,17,28,2,0
6321,3.8694874805922925,675,44,26,37,2,1
6322,1.6084853393734475,2406,96,37,58,2,0
6323,2.869049441705196,859,64,18,36,2,0
6324,1.6588463942743523,676,39,31,37,2,0
6325,1.238033314367513,260,28,14,24,2,0
6326,4.159953596192757,1862,90,33,53,2,1
6327,2.5648255957818957,657,66,12,29,3,0
6328,1.7535163213871132,465,39,18,29,2,0
6329,0.8017554247402057,1245,83,19,46,2,0
6330,3.7755196058937996,712,55,18,33,2,0
6331,1.0484662853748743,1881,64,53,62,2,0
6332,4.28260793889782,148,25,8,15,3,1
6333,3.8462139640451976,632,37,32,36,2,0
6334,2.3604729185644104,350,40,10,24,2,0
6335,1.6532230290634842,1875,63,56,62,2,0
6336,0.6908128281035162,1236,82,17,39,2,0
